,,Rubro,Artículo,Nombre,Bt.LISTA 1,Patente
,,ACEITES Y VINAGRES,1002,ACEITE DE OLIVA X 500 CC LAUR,"10.070,00",6 unid.
,,ACEITES Y VINAGRES,1007,ACEITE DE OLIVA X 5 L R.V.,"69.600,00",1 unid.
,,ACEITES Y VINAGRES,1008,ACEITE DE OLIVA R.V X 3 L,"42.120,00",4 unid.
,,ACEITES Y VINAGRES,1009,ACEITE DE OLIVA EV R.V 500 CC,"8.760,00",6 unid.
,,ACEITES Y VINAGRES,1010,ACEITE DE OLIVA EV R.V 900 CC,"14.520,00",6 unid.
,,ACEITES Y VINAGRES,1011,ACEITE DE OLIVA 1 L PANNOCCHIA,"17.860,00",6 unid.
,,ACEITES Y VINAGRES,1012,ACEITE DE OLIVA 1 L VID. LAUR,"20.140,00",6 unid.
,,ACEITES Y VINAGRES,1013,ACEITE DE OLIVA 1/2 L VID. PANNOCCHIA,"11.040,00",6 unid.
,,ACEITES Y VINAGRES,1014,ACEITE DE OLIVA EV X 5 L PANNOCCHIA,"85.180,00",2 unid.
,,ACEITES Y VINAGRES,1064,"ACETO BALSAMICO 500 CC PET CRISTO DE LOS CERROS""""","3.680,00",12 unid.
,,ACEITES Y VINAGRES,1066,"ACETO REDUCCIÓN X 500 CC RECETAS DE ENTONCES""""","6.760,00",12 unid.
,,ACEITES Y VINAGRES,1637,VINAGRE DE ALCOHOL X 1 L,"1.100,00",12 unidades
,,ACEITES Y VINAGRES,1638,VINAGRE DE MANZANA X 1 L,"2.100,00",12 unidades
,,ACEITES Y VINAGRES,1639,VINAGRE DE VINO X 1 L,"1.320,00",12 unidades
,,ACEITES Y VINAGRES,1894,ACEITE DE OLIVA X 900ML VERDE OLIVA,"4.200,00",10 unid.
,,ACEITES Y VINAGRES,1908,ACEITE DE OLIVA X 3 L VERDE OLIVA,"13.200,00",3 unid.
,,ACEITES Y VINAGRES,1909,ACEITEDE OLIVA X 5 L VERDE OLIVA,"21.000,00",1 unid.
,,ACEITES Y VINAGRES,2119,ACEITE OLIVA X 500 PET VERDE OLIVA,"2.700,00",20 unid.
,,ACEITES Y VINAGRES,2141,"ACEITE COCO NEUTRO ENTRENUTS SIN TACC"" x 360 G""","5.930,00",12 unid.
,,ACEITES Y VINAGRES,2142,"ACEITE COCO VIRGEN ENTRENUTS SIN TACC"" X 200 g""","6.690,00",12 unid.
,,ACEITES Y VINAGRES,2265,"ACEITE COCO NEUTRO ENTRENUTS SIN TACC"" x 200""","3.900,00",12 unid.
,,ACEITES Y VINAGRES,2266,"ACEITE COCO VIRGEN ENTRENUTS SIN TACC"" X 360 g""","12.440,00",12 unid.
,,ACEITES Y VINAGRES,2416,ACETO BALSAMICO MILLAN X 250,"6.530,00",6 unid.
,,ACEITUNAS,1018,ACEITUNAS DESC VALLE DE LAS REINAS. X 5 KG,"27.490,00",1 unid.
,,ACEITUNAS,1020,ACEITUNAS DESCAROZADAS DURANG X 1 KG,"8.770,00",4 unid.
,,ACEITUNAS,1021,ACEITUNAS FILETEADAS DURANG X 1 KG.,"9.210,00",4 unid.
,,ACEITUNAS,1023,ACEITUNAS FILETEADAS VALLE DE LAS REINAS 4 KG,"27.220,00",1 unid.
,,ACEITUNAS,1024,ACEITUNAS GRIEGAS R.V X 1 KG,"10.440,00",4 unid.
,,ACEITUNAS,1025,ACEITUNAS GRIEGAS R.V X 1/2 KG,"7.200,00",6 unid.
,,ACEITUNAS,1026,ACEITUNAS NEGRAS DURANG X 5 KG Nº 0,"46.140,00",1 unid.
,,ACEITUNAS,1028,ACEITUNAS NEGRAS DURANG X 5 KG Nº 1,"36.250,00",1 unid.
,,ACEITUNAS,1030,ACEITUNAS NEGRAS DESC. DURANG X 5 KG.,"38.320,00",1 unid.
,,ACEITUNAS,1031,ACEITUNAS NEGRAS FILET. DURANG X 5 KG.,"37.560,00",1 unid.
,,ACEITUNAS,1032,ACEITUNAS NEGRAS DURANG X 1 KG.,"8.170,00",1 unid.
,,ACEITUNAS,1033,ACEITUNAS RELL. C/ ALMENDRAS AGROIANNI X 330 GR.,"5.880,00",12 unid.
,,ACEITUNAS,1034,ACEITUNAS RELL. DURANG X 1 KG.,"12.300,00",4 unid.
,,ACEITUNAS,1036,ACEITUNAS RELL. DURANG X 200 GR,"3.700,00",6 unid.
,,ACEITUNAS,1037,ACEITUNAS RELL. SURTIDAS AGROIANNI X 330 GR.,"5.520,00",12 unid.
,,ACEITUNAS,1038,ACEITUNAS VERDES DURANG N°0 X 5 KG,"42.080,00",1 unid.
,,ACEITUNAS,1040,ACEITUNAS VERDES DURANG Nº 1 X 5 KG,"37.370,00",1 unid.
,,ACEITUNAS,1043,ACEITUNAS VERDES R.V X 1 KG Nº 00,"9.250,00",4 unid.
,,ACEITUNAS,1044,ACEITUNAS VERDES R.V X 1 KG Nº0,"8.280,00",4 unid.
,,ACEITUNAS,1045,ACEITUNAS VERDES R.V X 1 KG Nº1,"7.200,00",4 unid.
