,,Nombre,Bt.LISTA 1,Bt.LISTA 2,Rubro,Artículo
,,"ACEITE COCO NEUTRO ENTRENUTS SIN TACC"" x 200""","6.010,00","5.280,00",ACEITES Y VINAGRES,"2.265,00"
,,"ACEITE COCO NEUTRO ENTRENUTS SIN TACC"" x 360 G""","9.530,00","8.390,00",ACEITES Y VINAGRES,"2.141,00"
,,"ACEITE COCO VIRGEN ENTRENUTS SIN TACC"" X 200 g""","10.320,00","9.080,00",ACEITES Y VINAGRES,"2.142,00"
,,"ACEITE COCO VIRGEN ENTRENUTS SIN TACC"" X 360 g""","17.680,00","15.290,00",ACEITES Y VINAGRES,"2.266,00"
,,"ACEITE DE HIBISCUS 30 ml SOMOS SETAS""""","13.370,00","11.750,00",SUPLEMENTOS,"2.467,00"
,,"ACEITE DE LINO X 150 cc NUTRA SEM""""","10.650,00","9.080,00",ACEITES Y VINAGRES,"2.386,00"
,,ACEITE DE OLIVA 500 PET VERDE OLIVA,"4.200,00","3.700,00",ACEITES Y VINAGRES,"2.119,00"
,,ACEITE DE OLIVA 900ML VERDE OLIVA,"6.520,00","5.140,00",ACEITES Y VINAGRES,"1.894,00"
,,ACEITE DE OLIVA 3 L VERDE OLIVA,"20.360,00","16.030,00",ACEITES Y VINAGRES,"1.908,00"
,,ACEITE DE OLIVA 5 L VERDE OLIVA,"32.360,00","25.500,00",ACEITES Y VINAGRES,"1.909,00"
,,ACEITE DE OLIVA PANNOCCHIA X 500ML,"16.980,00","13.390,00",ACEITES Y VINAGRES,"1.013,00"
,,ACEITE DE OLIVA PANNOCCHIA X1L,"27.530,00","21.700,00",ACEITES Y VINAGRES,"1.011,00"
,,ACEITE DE OLIVA PANNOCCHIA X5L,"131.190,00","103.350,00",ACEITES Y VINAGRES,"1.014,00"
,,ACEITE DE OLIVA X 500 CC LAUR,"15.530,00","12.240,00",ACEITES Y VINAGRES,"1.002,00"
,,ACEITE DE OLIVA X1 L VID. LAUR,"31.040,00","24.460,00",ACEITES Y VINAGRES,"1.012,00"
,,ACEITE DE OLIVA X 500 CC R.V.,"13.530,00","10.660,00",ACEITES Y VINAGRES,"1.009,00"
,,ACEITE DE OLIVA X 900 CC R.V.,"22.430,00","17.680,00",ACEITES Y VINAGRES,"1.010,00"
,,ACEITE DE OLIVA X 3 L R.V.,"64.940,00","51.180,00",ACEITES Y VINAGRES,"1.008,00"
,,ACEITE DE OLIVA X 5 L R.V.,"107.210,00","84.470,00",ACEITES Y VINAGRES,"1.007,00"
,,"ACEITE DE OREGANO X30CC SOMOS SETA""""","14.000,00","12.340,00",SUPLEMENTOS,"2.185,00"
,,ACEITE DE SÉSAMO X 250 ML NATRUSEM,"17.080,00","14.580,00",ACEITES Y VINAGRES,"2.378,00"
,,ACEITE PURO DE ALMENDRAS X 50 CC,"5.030,00","4.290,00",SUPLEMENTOS,"2.377,00"
,,ACEITE PURO DE ARGAN X 50CC,"9.950,00","8.490,00",SUPLEMENTOS,"2.277,00"
,,ACEITE PURO DE ARNICA X50cc,"8.160,00","6.720,00",SUPLEMENTOS,"2.493,00"
,,"ACEITE PURO DE RICINO EL NATURALISTA""""","6.220,00","5.310,00",SUPLEMENTOS,"2.352,00"
,,ACEITE PURO DE ROSA MOSQUETA X50CC - EL NATURALISTA,"6.630,00","5.655,00",SUPLEMENTOS,"5.043,00"
,,ACEITUNAS GRIEGAS X 1 KG,"16.150,00","12.720,00",ACEITUNAS,"1.024,00"
,,ACEITUNAS GRIEGAS X 1/2 KG,"11.180,00","8.810,00",ACEITUNAS,"1.025,00"
,,ACEITUNAS RELL. X 200 GR,"5.710,00","4.500,00",ACEITUNAS,"1.036,00"
,,ACEITUNAS VERDES X 1 KG Nº 00,"14.320,00","11.280,00",ACEITUNAS,"1.043,00"
,,ACEITUNAS VERDES X 1 KG Nº0,"12.830,00","10.100,00",ACEITUNAS,"1.044,00"
,,ACEITUNAS VERDES X 1 KG Nº1,"11.180,00","8.810,00",ACEITUNAS,"1.045,00"
,,ACEITUNAS VERDES X 1/2 KG Nº 00,"9.350,00","7.360,00",ACEITUNAS,"1.049,00"
,,ACEITUNAS VERDES X 1/2 KG Nº 1,"6.340,00","4.990,00",ACEITUNAS,"1.050,00"
,,"ACETO BALSAMICO 500 CC PET CRISTO DE LOS CERROS""""","3.000,00","3.000,00",ACEITES Y VINAGRES,"1.064,00"
,,ACETO BALSAMICO MILLAN X 250 cc,"10.000,00","7.940,00",ACEITES Y VINAGRES,"2.416,00"
,,"ACETO REDUCCIÓN X 500 CC RECETAS DE ENTONCES""""","10.540,00","8.300,00",ACEITES Y VINAGRES,"1.066,00"
,,ACIDO ASCÓRBICO X KG,"15.070,00","11.880,00",SUPLEMENTOS,"2.346,00"
,,ACONDICIONADOR DE ROMERO Y ALOE VERA X300 CC - EL AMAUTA,"11.000,00","8.780,00",PALADEAR HOME,"5.006,00"
,,ACONDICIONADOR SOLIDO,"7.900,00","6.240,00",PALADEAR HOME,"5.026,00"
,,ADOBO PARA PIZZA X KG.,"12.050,00","9.640,00",ESPECIAS,"1.068,00"
,,AJI MOLIDO FINO X KG.,"10.960,00","8.640,00",ESPECIAS,"1.079,00"
,,AJIES DULCES X 110 GR,"4.580,00","3.600,00",ENCURTIDOS,"1.082,00"
,,AJIES PICANTES X 110 GR,"4.590,00","3.600,00",ENCURTIDOS,"1.084,00"
,,AJO EN POLVO,"7.760,00","6.210,00",ESPECIAS,"1.085,00"
,,AJO GRANULADO X KG.,"16.900,00","13.520,00",ESPECIAS,"1.088,00"
,,"AJO NEGRO X 50 CÁPSULAS NATIER""""","20.460,00","17.830,00",SUPLEMENTOS,"2.054,00"
,,AJO NEGRO XKG,"73.920,00","59.140,00",DESHIDRATADOS,"4.463,00"
,,ALBAHACA EN HOJAS X KG,"10.540,00","8.300,00",ESPECIAS,"1.099,00"
,,ALCAPARRAS X 100 GR,"8.610,00","6.790,00",ENCURTIDOS,"1.100,00"
,,"ALFAJOR SIN AZUCAR BANDA""""","1.500,00","1.260,00",PRODUCTOS SIN TACC,"2.513,00"
,,ALFAJORES MAICENA SIN TACC X 6 unidades,"5.300,00","5.170,00",PRODUCTOS SIN TACC,"2.027,00"
,,ALMENDRA NONPAREIL X KG,"32.840,00","25.880,00",FRUTOS SECOS,"1.842,00"
,,ALMENDRAS CON CHOCO xKG,"51.590,00","44.010,00","DULCES, MIEL Y CHOCOLATES","2.001,00"
,,ALMIDON DE MAIZ X KG,"2.830,00","2.260,00",HARINAS,"1.113,00"
,,ALMOHADITAS 2 SALVADO X KG.,"7.850,00","6.190,00",CEREALES,"1.114,00"
,,ALMOHADITAS CHOCOLATE X KG.,"12.640,00","9.960,00",CEREALES,"1.115,00"
,,ALMOHADITAS FRUTILLA X KG.,"11.790,00","9.280,00",CEREALES,"1.117,00"
,,ALMOHADITAS LIMON X KG.,"11.790,00","9.280,00",CEREALES,"1.118,00"
,,"ALOE VERA DIGESTIVO BEBIBLE X250 NATIER""""","14.360,00","12.510,00",SUPLEMENTOS,"2.323,00"
,,"ALOE VERA JUGO X 250 ML NATIER""""","13.010,00","11.340,00",SUPLEMENTOS,"2.044,00"
,,"ALOE VERA JUGO X 500 ML NATIER""""","16.820,00","15.740,00",SUPLEMENTOS,"2.325,00"
,,ANILLOS DE AVENA Y MIEL X KG.,"10.740,00","8.460,00",CEREALES,"1.121,00"
,,ANILLOS FRUTADOS X KG.,"9.710,00","7.630,00",CEREALES,"1.122,00"
,,ANIS EN GRANO X KG.,"14.250,00","11.220,00",ESPECIAS,"1.123,00"
,,ANIS ESTRELLADO X KG.,"72.820,00","58.270,00",ESPECIAS,"1.124,00"
,,ARANDANOS CON CHOCO xKG,"36.290,00","30.960,00","DULCES, MIEL Y CHOCOLATES","2.002,00"
,,ARANDANOS CONGELADOS X KG,"17.850,00","15.250,00",PRODUCTOS CONGELADOS,"1.126,00"
,,ARANDANOS DESHIDRATADOS X KG,"26.820,00","21.570,00",DESHIDRATADOS,"1.127,00"
,,ARROZ INTEGRAL X KG.,"3.370,00","2.700,00",GRANOS Y LEGUMBRES,"1.131,00"
,,ARROZ YAMANI X KG.,"4.620,00","3.700,00",GRANOS Y LEGUMBRES,"1.133,00"
,,"ASHWAGANDHA X 60 CAPSULAS SOMOS SETA""""","31.520,00","27.700,00",SUPLEMENTOS,"2.073,00"
,,"ASHWAGANDHA X 60 CC SOMOS SETA""""","25.410,00","22.330,00",SUPLEMENTOS,"2.411,00"
,,AVELLANAS CON CHOCO XKG,"56.230,00","47.960,00","DULCES, MIEL Y CHOCOLATES","2.010,00"
,,AVELLANAS SIN CASCARA X KG,"56.150,00","44.200,00",FRUTOS SECOS,"1.134,00"
,,AVENA ARROLLADA GRUESA X KG,"3.900,00","3.120,00",CEREALES,"1.135,00"
,,AVENA GRUESA INTEGRAL SIN TACC X350gr DICOMERE,"3.830,00","3.370,00",PRODUCTOS SIN TACC,"5.032,00"
,,AVENA INSTANTÁNEA X KG,"3.780,00","3.030,00",CEREALES,"1.136,00"
,,AVENA INSTANTANEA INTEGRAN SIN TACC X350gr DICOMERE,"3.830,00","3.370,00",PRODUCTOS SIN TACC,"5.033,00"
,,AVENA TRADICIONAL X KG.,"3.780,00","3.030,00",CEREALES,"1.137,00"
,,AZAFRAN ESPAÑOL X CAPSULA.,"4.130,00","3.300,00",ESPECIAS,"1.138,00"
,,AZUCAR IMPALPABLE X KG.,"4.100,00","3.280,00","AZUCAR, CACAO Y REPOSTERIA","1.140,00"
,,AZUCAR MASCABO X KG,"9.690,00","7.750,00","AZUCAR, CACAO Y REPOSTERIA","1.141,00"
,,AZUCAR NEGRA X KG.,"4.030,00","3.170,00","AZUCAR, CACAO Y REPOSTERIA","1.142,00"
,,BANANITAS CON CHOCO,"48.620,00","41.470,00","DULCES, MIEL Y CHOCOLATES","2.455,00"
,,"BARRA CROWIE ARROZ SIN TACC""""","1.100,00","960,00",PRODUCTOS SIN TACC,"2.103,00"
,,BARRA CHOCO 70% CON STEVIA x 100 g - COLONIAL,"4.590,00","3.920,00","DULCES, MIEL Y CHOCOLATES","2.003,00"
,,BARRA CHOCO 80% X 100 g - COLONIAL,"7.260,00","6.200,00","DULCES, MIEL Y CHOCOLATES","2.268,00"
