Articulo,Nombre,Rubro,Cantidad,Disponible
2265,"ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 200",ACEITES Y VINAGRES,19,SI
2141,"ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 360 G",ACEITES Y VINAGRES,22,SI
2142,"ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 200 g",ACEITES Y VINAGRES,5,SI
2266,"ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 360 g",ACEITES Y VINAGRES,22,SI
2467,"ACEITE DE HIBISCUS 30 ml ""SOMOS SETAS""",SUPLEMENTOS,0,NO
2386,"ACEITE DE LINO X 150 cc ""NUTRA SEM""",ACEITES Y VINAGRES,0,NO
1908,ACEITE DE OLIVA 3 L VERDE OLIVA,ACEITES Y VINAGRES,3,SI
1909,ACEITE DE OLIVA 5 L VERDE OLIVA,ACEITES Y VINAGRES,0,NO
2119,ACEITE DE OLIVA 500 PET VERDE OLIVA,ACEITES Y VINAGRES,13,SI
1894,ACEITE DE OLIVA 900ML VERDE OLIVA,ACEITES Y VINAGRES,10,SI
1013,ACEITE DE OLIVA PANNOCCHIA X 500ML,ACEITES Y VINAGRES,7,SI
1011,ACEITE DE OLIVA PANNOCCHIA X1L,ACEITES Y VINAGRES,5,SI
1014,ACEITE DE OLIVA PANNOCCHIA X5L,ACEITES Y VINAGRES,1,SI
1008,ACEITE DE OLIVA X 3 L R.V.,ACEITES Y VINAGRES,4,SI
1007,ACEITE DE OLIVA X 5 L R.V.,ACEITES Y VINAGRES,1,SI
1002,ACEITE DE OLIVA X 500 CC LAUR,ACEITES Y VINAGRES,5,SI
1009,ACEITE DE OLIVA X 500 CC R.V.,ACEITES Y VINAGRES,4,SI
1010,ACEITE DE OLIVA X 900 CC R.V.,ACEITES Y VINAGRES,3,SI
1012,ACEITE DE OLIVA X1 L VID. LAUR,ACEITES Y VINAGRES,4,SI
2185,"ACEITE DE OREGANO X30CC ""SOMOS SETA""",SUPLEMENTOS,9,SI
2378,ACEITE DE SÉSAMO X 250 ML NATRUSEM,ACEITES Y VINAGRES,1,SI
2377,ACEITE PURO DE ALMENDRAS X 50 CC,SUPLEMENTOS,1,SI
2277,ACEITE PURO DE ARGAN X 50CC,SUPLEMENTOS,3,SI
2493,ACEITE PURO DE ARNICA X50cc,SUPLEMENTOS,1,SI
2352,"ACEITE PURO DE RICINO ""EL NATURALISTA""",SUPLEMENTOS,2,SI
5043,ACEITE PURO DE ROSA MOSQUETA X50CC - EL NATURALISTA,SUPLEMENTOS,2,SI
1024,ACEITUNAS GRIEGAS X 1 KG,ACEITUNAS,2,SI
1025,ACEITUNAS GRIEGAS X 1/2 KG,ACEITUNAS,1,SI
1036,ACEITUNAS RELL. X 200 GR,ACEITUNAS,5,SI
1043,ACEITUNAS VERDES X 1 KG Nº 00,ACEITUNAS,4,SI
1044,ACEITUNAS VERDES X 1 KG Nº0,ACEITUNAS,4,SI
1045,ACEITUNAS VERDES X 1 KG Nº1,ACEITUNAS,4,SI
1049,ACEITUNAS VERDES X 1/2 KG Nº 00,ACEITUNAS,3,SI
1050,ACEITUNAS VERDES X 1/2 KG Nº 1,ACEITUNAS,5,SI
1064,"ACETO BALSAMICO 500 CC PET ""CRISTO DE LOS CERROS""",ACEITES Y VINAGRES,12,SI
2416,ACETO BALSAMICO MILLAN X 250 cc,ACEITES Y VINAGRES,4,SI
1066,"ACETO REDUCCIÓN X 500 CC ""RECETAS DE ENTONCES""",ACEITES Y VINAGRES,4,SI
2346,ACIDO ASCÓRBICO X KG,SUPLEMENTOS,2,SI
5006,ACONDICIONADOR DE ROMERO Y ALOE VERA X300 CC - EL AMAUTA,PALADEAR HOME,1,SI
5026,ACONDICIONADOR SOLIDO,PALADEAR HOME,1,SI
1068,ADOBO PARA PIZZA X KG.,ESPECIAS,1,SI
1079,AJI MOLIDO FINO X KG.,ESPECIAS,3,SI
1082,AJIES DULCES X 110 GR,ENCURTIDOS,9,SI
1084,AJIES PICANTES X 110 GR,ENCURTIDOS,8,SI
1085,AJO EN POLVO,ESPECIAS,3,SI
1088,AJO GRANULADO X KG.,ESPECIAS,2,SI
2054,"AJO NEGRO X 50 CÁPSULAS ""NATIER""",SUPLEMENTOS,0,NO
4463,AJO NEGRO XKG,DESHIDRATADOS,2,SI
1099,ALBAHACA EN HOJAS X KG,ESPECIAS,1,SI
1100,ALCAPARRAS X 100 GR,ENCURTIDOS,5,SI
2513,"ALFAJOR SIN AZUCAR ""BANDA""",PRODUCTOS SIN TACC,9,SI
2027,ALFAJORES MAICENA SIN TACC X 6 unidades,PRODUCTOS SIN TACC,-2,NO
1842,ALMENDRA NONPAREIL X KG,FRUTOS SECOS,12,SI
2001,ALMENDRAS CON CHOCO xKG,"DULCES, MIEL Y CHOCOLATES",9,SI
1113,ALMIDON DE MAIZ X KG,HARINAS,9,SI
1114,ALMOHADITAS 2 SALVADO X KG.,CEREALES,3,SI
1115,ALMOHADITAS CHOCOLATE X KG.,CEREALES,3,SI
1117,ALMOHADITAS FRUTILLA X KG.,CEREALES,4,SI
1118,ALMOHADITAS LIMON X KG.,CEREALES,5,SI
2323,"ALOE VERA DIGESTIVO BEBIBLE X250 ""NATIER""",SUPLEMENTOS,2,SI
